Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Darius Days (24866926),Darius Days,24866926,PF/F/UTIL,3000,HOU@ATL 10/19/2022 07:30PM ET,HOU,0
PF,Jalen Johnson (24866987),Jalen Johnson,24866987,PF/F/UTIL,3000,HOU@ATL 10/19/2022 07:30PM ET,ATL,4.04
PG,Vit Krejci (24867025),Vit Krejci,24867025,PG/G/UTIL,3000,HOU@ATL 10/19/2022 07:30PM ET,ATL,15.19
PG,Daishen Nix (24867039),Daishen Nix,24867039,PG/G/UTIL,3000,HOU@ATL 10/19/2022 07:30PM ET,HOU,8.28
C,Usman Garuba (24867042),Usman Garuba,24867042,C/UTIL,3000,HOU@ATL 10/19/2022 07:30PM ET,HOU,9.12
SG/SF,AJ Griffin (24867049),AJ Griffin,24867049,SG/SF/F/G/UTIL,3000,HOU@ATL 10/19/2022 07:30PM ET,ATL,0
PG,Trevor Hudgins (24867071),Trevor Hudgins,24867071,PG/G/UTIL,3000,HOU@ATL 10/19/2022 07:30PM ET,HOU,0
SF/PF,T.J. Warren (24866625),T.J. Warren,24866625,SF/PF/F/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,BKN,0
PF,Yuta Watanabe (24866695),Yuta Watanabe,24866695,PF/F/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,BKN,8.90
SF/PF,Naji Marshall (24866822),Naji Marshall,24866822,SF/PF/F/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,NOP,11.27
SG,Kira Lewis Jr. (24866891),Kira Lewis Jr.,24866891,SG/G/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,NOP,11.70
PG,David Duke Jr. (24866912),David Duke Jr.,24866912,PG/G/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,BKN,11.74
SF,Kessler Edwards (24866920),Kessler Edwards,24866920,SF/F/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,BKN,12.92
SG,Dereon Seabron (24866948),Dereon Seabron,24866948,SG/G/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,NOP,0
PF,E.J. Liddell (24866959),E.J. Liddell,24866959,PF/F/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,NOP,0
PG,Alondes Williams (24866972),Alondes Williams,24866972,PG/G/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,BKN,0
C,Day'Ron Sharpe (24867018),Day'Ron Sharpe,24867018,C/UTIL,3000,NOP@BKN 10/19/2022 07:30PM ET,BKN,14.02
